City Name_encoded,Package_encoded,Variety_encoded,Item Size_encoded,Color_encoded,Origin_encoded,Season_encoded,Month,Year,Avg_Price
1,5,10,3,2,8,1,-5.087332011250799,1.6872107921701636,275.0
1,5,10,3,2,8,1,-4.1818064977498715,1.6872107921701636,275.0
1,5,4,4,0,4,0,-0.5597044437461629,-0.5619768875285518,160.0
1,5,4,4,0,23,0,-0.5597044437461629,-0.5619768875285518,160.0
1,5,4,3,0,8,0,1.2513465832556916,-0.5619768875285518,95.0
1,5,4,3,0,8,0,1.2513465832556916,-0.5619768875285518,95.0
1,7,4,4,0,8,0,-0.5597044437461629,-0.5619768875285518,165.0
1,7,4,3,0,18,0,-0.5597044437461629,-0.5619768875285518,160.0
1,7,4,4,0,8,0,0.3458210697547644,-0.5619768875285518,165.0
1,7,4,3,0,18,0,0.3458210697547644,-0.5619768875285518,160.0
1,7,4,4,0,8,0,0.3458210697547644,-0.5619768875285518,165.0
1,7,4,3,0,18,0,0.3458210697547644,-0.5619768875285518,160.0
1,7,4,3,0,8,0,0.3458210697547644,-0.5619768875285518,155.0
1,7,4,4,0,8,0,0.3458210697547644,-0.5619768875285518,160.0
1,7,4,3,0,8,0,0.3458210697547644,-0.5619768875285518,155.0
1,7,4,4,0,8,0,0.3458210697547644,-0.5619768875285518,150.0
1,7,4,3,0,8,0,0.3458210697547644,-0.5619768875285518,130.0
1,7,4,4,0,8,0,0.3458210697547644,-0.5619768875285518,145.0
1,7,4,6,0,8,0,0.3458210697547644,-0.5619768875285518,130.0
1,7,4,7,0,8,0,1.2513465832556916,-0.5619768875285518,125.0
1,7,4,3,0,8,0,1.2513465832556916,-0.5619768875285518,115.0
1,7,4,4,0,8,0,1.2513465832556916,-0.5619768875285518,95.0
1,7,4,3,0,8,0,1.2513465832556916,-0.5619768875285518,110.0
1,7,4,5,0,8,0,-0.5597044437461629,1.6872107921701636,160.0
1,7,4,5,0,8,0,-0.5597044437461629,1.6872107921701636,160.0
1,7,4,3,0,8,0,-0.5597044437461629,1.6872107921701636,155.0
1,7,4,5,0,8,0,-0.5597044437461629,1.6872107921701636,155.0
1,5,5,4,2,8,0,-0.5597044437461629,1.6872107921701636,170.0
