City Name,Package,Variety,Item Size,Color,Origin,Date,Low Price,High Price,Year,Month,Week,Season,Is_Holiday,Avg_Price,Prev_Week_Price,Price_Change,Region_Avg_Price,Variety_Count,Rare_Variety
ATLANTA,24 inch bins,HOWDEN TYPE,med,ORANGE,ALABAMA,2016-10-22,140.0,145.0,2016,10,42,1,1,142.5,142.5,0.0,142.5,540.0,0
ATLANTA,24 inch bins,HOWDEN TYPE,med,ORANGE,ALABAMA,2016-10-29,140.0,145.0,2016,10,43,1,1,142.5,142.5,0.0,142.5,540.0,0
ATLANTA,24 inch bins,HOWDEN TYPE,med,ORANGE,ALABAMA,2016-11-05,140.0,145.0,2016,11,44,1,1,142.5,142.5,0.0,142.5,540.0,0
LOS ANGELES,24 inch bins,HOWDEN TYPE,med,ORANGE,CALIFORNIA,2016-09-24,120.0,130.0,2016,9,38,1,0,125.0,125.0,0.0,87.04364678899083,540.0,0
LOS ANGELES,bins,HOWDEN TYPE,med,ORANGE,CALIFORNIA,2016-09-24,125.0,150.0,2016,9,38,1,0,137.5,125.0,0.10000000000000009,87.04364678899083,540.0,0
LOS ANGELES,24 inch bins,FAIRYTALE,UNKNOWN,UNKNOWN,CALIFORNIA,2016-09-24,0.24,0.24,2016,9,38,1,0,0.24,137.5,-0.9982545454545455,87.04364678899083,132.0,0
SAN FRANCISCO,24 inch bins,HOWDEN TYPE,UNKNOWN,ORANGE,CALIFORNIA,2016-09-24,155.0,155.0,2016,9,38,1,0,155.0,0.24,644.8333333333334,87.04364678899083,540.0,0
SAN FRANCISCO,35 lb cartons,PIE TYPE,UNKNOWN,UNKNOWN,CALIFORNIA,2016-09-24,30.0,32.0,2016,9,38,1,0,31.0,155.0,-0.8,87.04364678899083,467.0,0
SAN FRANCISCO,35 lb cartons,PIE TYPE,UNKNOWN,UNKNOWN,CALIFORNIA,2016-09-24,32.0,32.0,2016,9,38,1,0,32.0,31.0,0.032258064516129004,87.04364678899083,467.0,0
SAN FRANCISCO,1/2 bushel cartons,MINIATURE,UNKNOWN,UNKNOWN,CALIFORNIA,2016-09-24,20.0,26.0,2016,9,38,1,0,23.0,32.0,-0.28125,87.04364678899083,310.0,0
SAN FRANCISCO,1/2 bushel cartons,MINIATURE,UNKNOWN,UNKNOWN,CALIFORNIA,2016-09-24,20.0,26.0,2016,9,38,1,0,23.0,23.0,0.0,87.04364678899083,310.0,0
SAN FRANCISCO,40 lb cartons,MINIATURE,UNKNOWN,UNKNOWN,CALIFORNIA,2016-09-24,35.0,35.0,2016,9,38,1,0,35.0,23.0,0.5217391304347827,87.04364678899083,310.0,0
LOS ANGELES,24 inch bins,HOWDEN TYPE,lge,ORANGE,CALIFORNIA,2016-10-01,120.0,130.0,2016,10,39,1,1,125.0,35.0,2.5714285714285716,87.04364678899083,540.0,0
LOS ANGELES,24 inch bins,HOWDEN TYPE,med,ORANGE,CALIFORNIA,2016-10-01,120.0,130.0,2016,10,39,1,1,125.0,125.0,0.0,87.04364678899083,540.0,0
LOS ANGELES,24 inch bins,FAIRYTALE,UNKNOWN,UNKNOWN,CALIFORNIA,2016-10-01,0.24,0.24,2016,10,39,1,1,0.24,125.0,-0.99808,87.04364678899083,132.0,0
LOS ANGELES,each,BIG MACK TYPE,lge,UNKNOWN,CALIFORNIA,2016-10-01,250.0,250.0,2016,10,39,1,1,250.0,0.24,1040.6666666666667,87.04364678899083,74.0,1
LOS ANGELES,each,BIG MACK TYPE,sml,UNKNOWN,CALIFORNIA,2016-10-01,0.55,0.55,2016,10,39,1,1,0.55,250.0,-0.9978,87.04364678899083,74.0,1
SAN FRANCISCO,24 inch bins,HOWDEN TYPE,UNKNOWN,ORANGE,CALIFORNIA,2016-10-01,155.0,155.0,2016,10,39,1,1,155.0,0.55,280.8181818181818,87.04364678899083,540.0,0
SAN FRANCISCO,24 inch bins,HOWDEN TYPE,lge,ORANGE,CALIFORNIA,2016-10-01,155.0,155.0,2016,10,39,1,1,155.0,155.0,0.0,87.04364678899083,540.0,0
SAN FRANCISCO,24 inch bins,HOWDEN TYPE,sml,ORANGE,CALIFORNIA,2016-10-01,135.0,135.0,2016,10,39,1,1,135.0,155.0,-0.12903225806451613,87.04364678899083,540.0,0
SAN FRANCISCO,35 lb cartons,PIE TYPE,UNKNOWN,UNKNOWN,CALIFORNIA,2016-10-01,31.5,32.0,2016,10,39,1,1,31.75,135.0,-0.7648148148148148,87.04364678899083,467.0,0
SAN FRANCISCO,50 lb cartons,PIE TYPE,UNKNOWN,UNKNOWN,CALIFORNIA,2016-10-01,32.0,33.0,2016,10,39,1,1,32.5,31.75,0.023622047244094446,87.04364678899083,467.0,0
SAN FRANCISCO,24 inch bins,MIXED HEIRLOOM VARIETIES,UNKNOWN,UNKNOWN,CALIFORNIA,2016-10-01,160.0,175.0,2016,10,39,1,1,167.5,32.5,4.153846153846154,87.04364678899083,57.0,1
SAN FRANCISCO,1/2 bushel cartons,MINIATURE,UNKNOWN,STRIPED,CALIFORNIA,2016-10-01,20.0,20.0,2016,10,39,1,1,20.0,167.5,-0.8805970149253731,87.04364678899083,310.0,0
SAN FRANCISCO,1/2 bushel cartons,MINIATURE,UNKNOWN,WHITE,CALIFORNIA,2016-10-01,20.0,20.0,2016,10,39,1,1,20.0,20.0,0.0,87.04364678899083,310.0,0
SAN FRANCISCO,1/2 bushel cartons,MINIATURE,UNKNOWN,ORANGE,CALIFORNIA,2016-10-01,20.0,20.0,2016,10,39,1,1,20.0,20.0,0.0,87.04364678899083,310.0,0
SAN FRANCISCO,40 lb cartons,MINIATURE,UNKNOWN,ORANGE,CALIFORNIA,2016-10-01,30.0,35.0,2016,10,39,1,1,32.5,20.0,0.625,87.04364678899083,310.0,0
SAN FRANCISCO,40 lb cartons,MINIATURE,UNKNOWN,WHITE,CALIFORNIA,2016-10-01,30.0,35.0,2016,10,39,1,1,32.5,32.5,0.0,87.04364678899083,310.0,0
SAN FRANCISCO,1/2 bushel cartons,MINIATURE,UNKNOWN,UNKNOWN,CALIFORNIA,2016-10-01,20.0,20.0,2016,10,39,1,1,20.0,32.5,-0.3846153846153846,87.04364678899083,310.0,0
SAN FRANCISCO,40 lb cartons,MINIATURE,UNKNOWN,UNKNOWN,CALIFORNIA,2016-10-01,30.0,35.0,2016,10,39,1,1,32.5,20.0,0.625,87.04364678899083,310.0,0
LOS ANGELES,24 inch bins,HOWDEN TYPE,lge,ORANGE,CALIFORNIA,2016-10-08,120.0,130.0,2016,10,40,1,1,125.0,32.5,2.8461538461538463,87.04364678899083,540.0,0
LOS ANGELES,24 inch bins,HOWDEN TYPE,med,ORANGE,CALIFORNIA,2016-10-08,120.0,130.0,2016,10,40,1,1,125.0,125.0,0.0,87.04364678899083,540.0,0
LOS ANGELES,24 inch bins,FAIRYTALE,UNKNOWN,UNKNOWN,CALIFORNIA,2016-10-08,0.24,0.24,2016,10,40,1,1,0.24,125.0,-0.99808,87.04364678899083,132.0,0
LOS ANGELES,each,BIG MACK TYPE,lge,UNKNOWN,CALIFORNIA,2016-10-08,250.0,250.0,2016,10,40,1,1,250.0,0.24,1040.6666666666667,87.04364678899083,74.0,1
LOS ANGELES,each,BIG MACK TYPE,sml,UNKNOWN,CALIFORNIA,2016-10-08,0.55,0.55,2016,10,40,1,1,0.55,250.0,-0.9978,87.04364678899083,74.0,1
SAN FRANCISCO,24 inch bins,HOWDEN TYPE,lge,ORANGE,CALIFORNIA,2016-10-08,135.0,150.0,2016,10,40,1,1,142.5,0.55,258.09090909090907,87.04364678899083,540.0,0
SAN FRANCISCO,24 inch bins,HOWDEN TYPE,sml,ORANGE,CALIFORNIA,2016-10-08,135.0,135.0,2016,10,40,1,1,135.0,142.5,-0.052631578947368474,87.04364678899083,540.0,0
SAN FRANCISCO,36 inch bins,HOWDEN TYPE,jbo,ORANGE,CALIFORNIA,2016-10-08,135.0,150.0,2016,10,40,1,1,142.5,135.0,0.05555555555555558,87.04364678899083,540.0,0
SAN FRANCISCO,36 inch bins,HOWDEN TYPE,med,ORANGE,CALIFORNIA,2016-10-08,135.0,150.0,2016,10,40,1,1,142.5,142.5,0.0,87.04364678899083,540.0,0
SAN FRANCISCO,36 inch bins,HOWDEN TYPE,sml,ORANGE,CALIFORNIA,2016-10-08,135.0,150.0,2016,10,40,1,1,142.5,142.5,0.0,87.04364678899083,540.0,0
SAN FRANCISCO,24 inch bins,FAIRYTALE,UNKNOWN,UNKNOWN,CALIFORNIA,2016-10-08,300.0,300.0,2016,10,40,1,1,300.0,142.5,1.1052631578947367,87.04364678899083,132.0,0
SAN FRANCISCO,35 lb cartons,PIE TYPE,UNKNOWN,UNKNOWN,CALIFORNIA,2016-10-08,31.5,31.5,2016,10,40,1,1,31.5,300.0,-0.895,87.04364678899083,467.0,0
SAN FRANCISCO,50 lb cartons,PIE TYPE,UNKNOWN,UNKNOWN,CALIFORNIA,2016-10-08,32.0,34.0,2016,10,40,1,1,33.0,31.5,0.04761904761904767,87.04364678899083,467.0,0
SAN FRANCISCO,24 inch bins,MIXED HEIRLOOM VARIETIES,UNKNOWN,UNKNOWN,CALIFORNIA,2016-10-08,160.0,160.0,2016,10,40,1,1,160.0,33.0,3.8484848484848486,87.04364678899083,57.0,1
SAN FRANCISCO,1/2 bushel cartons,MINIATURE,UNKNOWN,STRIPED,CALIFORNIA,2016-10-08,20.0,22.0,2016,10,40,1,1,21.0,160.0,-0.86875,87.04364678899083,310.0,0
SAN FRANCISCO,1/2 bushel cartons,MINIATURE,UNKNOWN,WHITE,CALIFORNIA,2016-10-08,20.0,22.0,2016,10,40,1,1,21.0,21.0,0.0,87.04364678899083,310.0,0
SAN FRANCISCO,1/2 bushel cartons,MINIATURE,UNKNOWN,ORANGE,CALIFORNIA,2016-10-08,20.0,22.0,2016,10,40,1,1,21.0,21.0,0.0,87.04364678899083,310.0,0
SAN FRANCISCO,40 lb cartons,MINIATURE,UNKNOWN,WHITE,CALIFORNIA,2016-10-08,30.0,35.0,2016,10,40,1,1,32.5,21.0,0.5476190476190477,87.04364678899083,310.0,0
SAN FRANCISCO,40 lb cartons,MINIATURE,UNKNOWN,ORANGE,CALIFORNIA,2016-10-08,30.0,35.0,2016,10,40,1,1,32.5,32.5,0.0,87.04364678899083,310.0,0
SAN FRANCISCO,bushel baskets,MINIATURE,UNKNOWN,ORANGE,CALIFORNIA,2016-10-08,25.0,48.0,2016,10,40,1,1,36.5,32.5,0.12307692307692308,87.04364678899083,310.0,0
SAN FRANCISCO,1/2 bushel cartons,MINIATURE,UNKNOWN,UNKNOWN,CALIFORNIA,2016-10-08,20.0,22.0,2016,10,40,1,1,21.0,36.5,-0.4246575342465754,87.04364678899083,310.0,0
SAN FRANCISCO,40 lb cartons,MINIATURE,UNKNOWN,UNKNOWN,CALIFORNIA,2016-10-08,30.0,35.0,2016,10,40,1,1,32.5,21.0,0.5476190476190477,87.04364678899083,310.0,0
